title,author,url,cover_url,rating,summary,tags,number_of_pages,time,amazon_link,audible_link
Way Station,Clifford D. Simak,https://www.goodreads.com/book/show/190999.Way_Station,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326490682i/190999.jpg,4.03,"Enoch Wallace is an ageless hermit, striding across his untended farm as he has done for over a century, still carrying the gun with which he had served in the Civil War. But what his neighbors must never know is that, inside his unchanging house, he meets with a host of unimaginable friends from the farthest stars.More than a hundred years before, an alien named Ulysses had recruited Enoch as the keeper of Earth's only galactic transfer station. Now, as Enoch studies the progress of Earth and tends the tanks where the aliens appear, the charts he made indicate his world is doomed to destruction. His alien friends can only offer help that seems worse than the dreaded disaster. Then he discovers the horror that lies across the galaxy...","Science Fiction,Fiction,Hugo Awards,Classics,Aliens,Fantasy,Science Fiction Fantasy",210,7 hours 0 minutes,https://www.amazon.com/gp/product/B00YO78RRS/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0020248717/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0020248717&SubscriptionId=1MGPYB6YW3HWK55XCGG2
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405456427i/112537.jpg,4.12,"At first, only a few things are known about the celestial object that astronomers dub Rama. It is huge, weighing more than ten trillion tons. And it is hurtling through the solar system at an inconceivable speed. Then a space probe confirms the unthinkable: Rama is no natural object. It is, incredibly, an interstellar spacecraft. Space explorers and planet-bound scientists alike prepare for mankind's first encounter with alien intelligence. It will kindle their wildest dreams... and fan their darkest fears. For no one knows who the Ramans are or why they have come. And now the moment of rendezvous awaits — just behind a Raman airlock door.","Science Fiction,Fiction,Classics,Science Fiction Fantasy,Space,Novels,Hugo Awards",243,8 hours 6 minutes,https://www.amazon.com/gp/product/B07XD75HGV/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/1857231589/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=1857231589&SubscriptionId=1MGPYB6YW3HWK55XCGG2
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,https://www.goodreads.com/book/show/40604658-jurassic-park,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658.jpg,4.09,"An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price. Until something goes wrong. . . . In Jurassic Park, Michael Crichton taps all his mesmerizing talent and scientific brilliance to create his most electrifying technothriller.","Science Fiction,Fiction,Thriller,Adventure,Fantasy,Horror,Classics",466,15 hours 32 minutes,https://www.amazon.com/gp/product/B007UH4D3G/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/B007UH4D3G/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=B007UH4D3G&SubscriptionId=1MGPYB6YW3HWK55XCGG2
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,4.13,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.","Fiction,Classics,Dystopia,Science Fiction,Feminism,Fantasy,Adult",314,10 hours 28 minutes,http://www.amazon.com/s/ref=x_gr_bb_amazon?tag=x_gr_bb_amazon-20&creative=374001&campaign=211041&adid=082VK13VJJCZTQYGWWCZ&index=books&keyword=The+Handmaid%E2%80%99s+Tale,https://www.amazon.com/s?k=The+Handmaid%E2%80%99s+Tale&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,https://www.goodreads.com/book/show/40395.A_Princess_of_Mars,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1332272118i/40395.jpg,3.81,"A Princess of Mars is the first of eleven thrilling novels that comprise Edgar Rice Burroughs' most exciting saga, known as The Martian Series. It's the beginning of an incredible odyssey in which John Carter, a gentleman from Virginia and a Civil War veteran, unexpectedly finds himself on to the red planet, scene of continuing combat among rival tribes. Captured by a band of six-limbed, green-skinned savage giants called Tharks, Carter soon is accorded all the honor of a chieftain after it's discovered that his muscles, accustomed to Earth's greater gravity, now give him a decided advantage in strength. And when his captors take as prisoner Dejah Thoris, the lovely human-looking princess of the city of Helium, Carter must call upon every ounce of strength, courage, and ingenuity to rescue her-before Dejah becomes the slave of the depraved Thark leader, Tal Hajus!","Science Fiction,Fantasy,Classics,Fiction,Adventure,Pulp,Science Fiction Fantasy",186,6 hours 12 minutes,https://www.amazon.com/gp/product/B0B48N764N/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0143104888/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0143104888&SubscriptionId=1MGPYB6YW3HWK55XCGG2
Planet of the Apes,Pierre Boulle,https://www.goodreads.com/book/show/414895.Planet_of_the_Apes,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320558901i/414895.jpg,3.98,"""I am confiding this manuscript to space, not with the intention of saving myself, but to help, perhaps, to avert the appalling scourge that is menacing the human race. Lord have pity on us!""With these words, Pierre Boulle hurtles the reader onto the Planet of the Apes. In this simian world, civilization is turned upside down: apes are men and men are apes; apes rule and men run wild; apes think, speak, produce, wear clothes, and men are speechless, naked, exhibited at fairs, used for biological research. On the planet of the apes, man, having reached to apotheosis of his genius, has become inert.To this planet come a journalist and a scientist. The scientist is put into a zoo, the journalist into a laboratory. Only the journalist retains the spiritual strength and creative intelligence to try to save himself, to fight the appalling scourge, to remain a man.Out of this situation, Pierre Boulle has woven a tale as harrowing, bizarre, and meaningful as any in the brilliant roster of this master storyteller. With his customary wit, irony, and disciplined intellect and style, the author of The Bridge Over the River Kwai tells a swiftly moving story dealing with man's conflicts, and takes the reader into a suspenseful and strangely fascinating orbit.","Science Fiction,Fiction,Classics,Fantasy,France,Dystopia,Science Fiction Fantasy",276,9 hours 12 minutes,http://www.amazon.com/gp/product/B002CLB496/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=B002CLB496&SubscriptionId=1MGPYB6YW3HWK55XCGG2,https://www.amazon.com/s?k=Planet+of+the+Apes&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
"Pandora's Star (Commonwealth Saga, #1)",Peter F. Hamilton,https://www.goodreads.com/book/show/45252.Pandora_s_Star,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440699949i/45252.jpg,4.23,"The year is 2380. The Intersolar Commonwealth, a sphere of stars some four hundred light-years in diameter, contains more than six hundred worlds, interconnected by a web of transport ""tunnels"" known as wormholes. At the farthest edge of the Commonwealth, astronomer Dudley Bose observes the impossible: Over one thousand light-years away, a star... vanishes. It does not go supernova. It does not collapse into a black hole. It simply disappears. Since the location is too distant to reach by wormhole, a faster-than-light starship, the Second Chance, is dispatched to learn what has occurred and whether it represents a threat. In command is Wilson Kime, a five-time rejuvenated ex-NASA pilot whose glory days are centuries behind him.Opposed to the mission are the Guardians of Selfhood, a cult that believes the human race is being manipulated by an alien entity they call the Starflyer. Bradley Johansson, leader of the Guardians, warns of sabotage, fearing the Starflyer means to use the starship's mission for its own ends.Pursued by a Commonwealth special agent convinced the Guardians are crazy but dangerous, Johansson flees. But the danger is not averted. Aboard the Second Chance, Kime wonders if his crew has been infiltrated. Soon enough, he will have other worries. A thousand light-years away, something truly incredible is waiting: a deadly discovery whose unleashing will threaten to destroy the Commonwealth... and humanity itself. Could it be that Johansson was right?","Science Fiction,Fiction,Space Opera,Science Fiction Fantasy,Fantasy,Audiobook,Space",768,25 hours 36 minutes,https://www.amazon.com/gp/product/B000FC1AFC/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0345461622/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0345461622&SubscriptionId=1MGPYB6YW3HWK55XCGG2
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,https://www.goodreads.com/book/show/52397.Parable_of_the_Sower,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442169447i/52397.jpg,4.21,"In 2025, with the world descending into madness and anarchy, one woman begins a fateful journey toward a better future.Lauren Olamina and her family live in one of the only safe neighborhoods remaining on the outskirts of Los Angeles. Behind the walls of their defended enclave, Lauren’s father, a preacher, and a handful of other citizens try to salvage what remains of a culture that has been destroyed by drugs, disease, war, and chronic water shortages. While her father tries to lead people on the righteous path, Lauren struggles with hyperempathy, a condition that makes her extraordinarily sensitive to the pain of others.When fire destroys their compound, Lauren’s family is killed and she is forced out into a world that is fraught with danger. With a handful of other refugees, Lauren must make her way north to safety, along the way conceiving a revolutionary idea that may mean salvation for all mankind.","Fiction,Science Fiction,Dystopia,Fantasy,Classics,Post Apocalyptic,Speculative Fiction",345,11 hours 30 minutes,https://www.amazon.com/gp/product/B0BZHT26LV/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0446675504/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0446675504&SubscriptionId=1MGPYB6YW3HWK55XCGG2
Ancillary Justice (Imperial Radch #1),Ann Leckie,https://www.goodreads.com/book/show/17333324-ancillary-justice,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397215917i/17333324.jpg,3.98,"(Alternate cover edition of ISBN 031624662X / 9780316246620.) On a remote, icy planet, the soldier known as Breq is drawing closer to completing her quest. Once, she was the Justice of Toren - a colossal starship with an artificial intelligence linking thousands of soldiers in the service of the Radch, the empire that conquered the galaxy. Now, an act of treachery has ripped it all away, leaving her with one fragile human body, unanswered questions, and a burning desire for vengeance.","Science Fiction,Fiction,Space Opera,Science Fiction Fantasy,Space,Fantasy,Audiobook",386,12 hours 52 minutes,https://www.amazon.com/gp/product/B00BAXFDLM/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/s/ref=x_gr_bb_amazon?tag=x_gr_bb_amazon-20&creative=374001&campaign=211041&adid=082VK13VJJCZTQYGWWCZ&index=books&keyword=Ancillary+Justice
We,Yevgeny Zamyatin,https://www.goodreads.com/book/show/76171.We,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1627438181i/76171.jpg,3.89,"The exhilarating dystopian novel that inspired George Orwell's 1984 and foreshadowed the worst excesses of Soviet RussiaYevgeny Zamyatin's We is a powerfully inventive vision that has influenced writers from George Orwell to Ayn Rand. In a glass-enclosed city of absolute straight lines, ruled over by the all-powerful 'Benefactor', the citizens of the totalitarian society of OneState live out lives devoid of passion and creativity - until D-503, a mathematician who dreams in numbers, makes a discovery: he has an individual soul. Set in the twenty-sixth century AD, We is the classic dystopian novel and was the forerunner of works such as George Orwell's 1984 and Aldous Huxley's Brave New World. It was suppressed for many years in Russia and remains a resounding cry for individual freedom, yet is also a powerful, exciting and vivid work of science fiction. Clarence Brown's brilliant translation is based on the corrected text of the novel, first published in Russia in 1988 after more than sixty years' suppression.","Fiction,Science Fiction,Classics,Dystopia,Russia,Russian Literature,Literature",226,7 hours 32 minutes,https://www.amazon.com/gp/product/B07K4T9Z1W/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0140185852/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0140185852&SubscriptionId=1MGPYB6YW3HWK55XCGG2
